Date,Value Date,Bank Account,Narration,Party Name,Mode,Reference No,Type,Debit,Credit,Balance,Auto Tag,Inter-Bank Excluded?,Source Email Date,Processed On
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-HDFCH01063606710-KHOSLA MEDICAL INST AND RESEARCH SOCIETY-0001DOMNEFT01 - C575-50200093223774-,KHOSLA MEDICAL INST AND RESEARCH SOCIETY,NEFT,S10794443,RECEIPT,,1152904.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-HDFCH01063644783-SOMA THE AYURVEDIC KITCHEN U/O KMIR-0001HOUSE KEEPING-50200116628364-HDFC0000,SOMA THE AYURVEDIC KITCHEN U/O KMIR,NEFT,S10830163,RECEIPT,,129115.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-HDFCH01063732883-PROGILITY TECHNOLOGIES PRIVATE LTD-0001NEFT 69355 IM-02400310003638-HDFC00,PROGILITY TECHNOLOGIES PRIVATE LTD,NEFT,S11154746,RECEIPT,,95817.18,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-HDFCH01064297756-SAMSARA SHIPPING PRIVATE LIMITED-0001NEFT - CX0000000-00600350010391-HDFC0000,SAMSARA SHIPPING PRIVATE LIMITED,NEFT,S12828320,RECEIPT,,35424.73,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-CMS1662609426514-D J INFRASTRUCTURE DEVELOPERS PV-NNDC DJINFRA SA 07 2-3550146372-KKBK0000958,D J INFRASTRUCTURE DEVELOPERS PV,NEFT,S12865111,RECEIPT,,307635.78,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-CMS1662609426499-D J INFRASTRUCTURE DEVELOPERS PV-NNDC DJINFRA SA 07 2-3550146372-KKBK0000958,D J INFRASTRUCTURE DEVELOPERS PV,NEFT,S12865714,RECEIPT,,281118.69,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-CMS1662609426519-D J INFRASTRUCTURE DEVELOPERS PV-NNDC DJINFRA SA 07 2-3550146372-KKBK0000958,D J INFRASTRUCTURE DEVELOPERS PV,NEFT,S12866665,RECEIPT,,96808.96,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-CMS1662609426523-D J INFRASTRUCTURE DEVELOPERS PV-NNDC DJINFRA SA 07 2-3550146372-KKBK0000958,D J INFRASTRUCTURE DEVELOPERS PV,NEFT,S12867039,RECEIPT,,20039.17,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-CMS1662609426520-D J INFRASTRUCTURE DEVELOPERS PV-NNDC DJINFRA SA 07 2-3550146372-KKBK0000958,D J INFRASTRUCTURE DEVELOPERS PV,NEFT,S12867560,RECEIPT,,104845.44,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-CMS1662609426532-D J INFRASTRUCTURE DEVELOPERS PV-NNDC DJINFRA SA 07 2-3550146372-KKBK0000958,D J INFRASTRUCTURE DEVELOPERS PV,NEFT,S12868062,RECEIPT,,18096.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-AXODH16636458408-CLINIC DERMATECH PRIVATE LIMITED--925020024275031-UTIB0005108,CLINIC DERMATECH PRIVATE LIMITED,NEFT,S13222218,RECEIPT,,25996.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-HDFCH01064591034-TRIDENT AGRA U OF EIH ASSO HOT 314-00012000002878-01210310000314-HDFC0000240,TRIDENT AGRA U OF EIH ASSO HOT 314,NEFT,S13258194,RECEIPT,,11970.42,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,CLG/CROWN PLAZA NEW DELHI R/846841/KLB/15.04.2026150620266002290000111095101005150,CROWN PLAZA NEW DELHI R,CHQ,M3713130,RECEIPT,,1114573.60,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,RTGS-HSBCR22026061537085018-JONES LANG LASALLE BUILDING OPERATI-IN HSBC 054-496070-909-HSBC0400002,JONES LANG LASALLE BUILDING OPERATI,RTGS,S13996239,RECEIPT,,3309277.09,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-15,ICICI 039951000005,NEFT-HSBCN16656866620-JONES LANG LASALLE BUILDINGOPERATI-ACCNEFTRECSEND-054-496070-909-HSBC0110005,JONES LANG LASALLE BUILDINGOPERATI,NEFT,S14167145,RECEIPT,,495224.24,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-13,DBS 858200061542,NEFTIN DEUTH01616400091 SIEMENS EDA (INDIA) PRIVAT DEUSTCHE BANK DEUT0796DEL AC ENDING 2000 REF BatchId:0004 01IN012000069242 SIEMENS EDA (INDIA) PRIVATE LIMITED INR 23760,SIEMENS EDA (INDIA) PRIVAT,NEFT,DEUTH01616400091,RECEIPT,,23760.00,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-13,DBS 858200061542,NEFTIN HSBCN16456397228 CBRE SOUTH ASIA PRIVATE LI HSBC BANK HSBC0110002 AC ENDING 001 REF BatchId:0021 CBRE SOUTH ASIA PRIVATE LIMITED INR 914713.32,CBRE SOUTH ASIA PRIVATE LI,NEFT,HSBCN16456397228,RECEIPT,,914713.32,,Client Receipt,NO,2026-06-16,2026-06-16
2026-06-15,2026-06-13,DBS 858200061542,NEFTIN HDFCH01061374178 SILVER MAPLE HEALTHCARE SE HDFC BANK HDFC0000240 AC ENDING 2452 REF BatchId:0032 SILVER MAPLE HEALTHCARE SERV P L INR 103997,SILVER MAPLE HEALTHCARE SE,NEFT,HDFCH01061374178,RECEIPT,,103997.00,,Client Receipt,NO,2026-06-16,2026-06-16
